Entity,Attribute,Data Type,PK/FK,Nullable,Unique,Default,Validation / Constraint,Retention,Owner,Notes
roles,id,bigint,PK,No,No,auto_increment,Primary key,Until hard delete,System,Role/group of permissions.
roles,name,varchar(100),-,No,Yes,NULL,Unique role name,Until hard delete,System,"Example: system_admin, facility_admin, doctor, staff, patient."
roles,guard_name,varchar(50),-,No,No,api,Auth guard namespace,Until hard delete,System,Default API guard.
roles,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Created timestamp,Until hard delete,System,Audit field.
roles,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Auto update on change,Until hard delete,System,Audit field.
permissions,id,bigint,PK,No,No,auto_increment,Primary key,Until hard delete,System,Permission identifier.
permissions,name,varchar(150),-,No,Yes,NULL,Unique permission name,Until hard delete,System,"Example: appointments.create, facilities.update."
permissions,guard_name,varchar(50),-,No,No,api,Auth guard namespace,Until hard delete,System,Default API guard.
permissions,created_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Created timestamp,Until hard delete,System,Audit field.
permissions,updated_at,timestamp,-,No,No,CURRENT_TIMESTAMP,Auto update on change,Until hard delete,System,Audit field.
user_roles,user_id,bigint,PK/FK→users.id,No,No,NULL,Composite PK with role_id,Until role removed,System,Assigns a role to a user.
user_roles,role_id,bigint,PK/FK→roles.id,No,No,NULL,Composite PK with user_id,Until role removed,System,Assigned role.
role_permissions,role_id,bigint,PK/FK→roles.id,No,No,NULL,Composite PK with permission_id,Until permission removed,System,Role side of role-permission mapping.
role_permissions,permission_id,bigint,PK/FK→permissions.id,No,No,NULL,Composite PK with role_id,Until permission removed,System,Permission side of role-permission mapping.
refresh_tokens,id,bigint,PK,No,No,auto_increment,Primary key,Until token expires/revoked,System,Refresh token record.
refresh_tokens,user_id,bigint,FK→users.id,No,No,NULL,Must reference users.id,Until token expires/revoked,System,Token owner.
refresh_tokens,token_hash,varchar(255),-,No,Yes,NULL,"Store hash only, never raw token",Until token expires/revoked,System,Used for refresh and revoke.
refresh_tokens,expires_at,timestamp,-,No,No,NULL,Must be future date when issued,Until token expires/revoked,System,Token expiry.
refresh_tokens,revoked_at,timestamp,-,Yes,No,NULL,Nullable until logout/revoke,Until token expires/revoked,System,Set when token is revoked.
